('i', 0.43);('j', 0.41);('q', 0.38);('a', 0.36);('p', 0.35);('w', 0.34);('b', 0.31);('l', 0.29);('o', 0.28);('v', 0.28);('c', 0.25);('r', 0.23);('t', 0.23);('f', 0.2);('n', 0.19);('u', 0.19);('g', 0.17);('s', 0.16);('k', 0.15);('y', 0.14);('d', 0.11);('h', 0.05);('e', 0.04);('m', 0.03);('z', 0.03);('x', 0.0)
('h', 0.97);('d', 0.96);('m', 0.9);('x', 0.87);('z', 0.87);('f', 0.84);('r', 0.83);('k', 0.83);('e', 0.82);('n', 0.82);('v', 0.81);('b', 0.8);('g', 0.8);('o', 0.8);('s', 0.78);('t', 0.78);('u', 0.77);('p', 0.75);('w', 0.75);('a', 0.73);('y', 0.73);('q', 0.68);('c', 0.58);('l', 0.51);('i', 0.0);('j', 0.0)
('h', 0.97);('d', 0.96);('m', 0.9);('x', 0.87);('z', 0.87);('f', 0.84);('r', 0.83);('k', 0.83);('e', 0.82);('n', 0.82);('v', 0.81);('b', 0.8);('g', 0.8);('o', 0.8);('s', 0.78);('t', 0.78);('u', 0.77);('p', 0.75);('w', 0.75);('a', 0.73);('y', 0.73);('q', 0.68);('c', 0.58);('l', 0.51);('i', 0.0);('j', 0.0)
('e', 0.98);('x', 0.9);('y', 0.88);('m', 0.88);('u', 0.86);('s', 0.85);('g', 0.84);('z', 0.83);('d', 0.81);('h', 0.81);('k', 0.79);('f', 0.76);('v', 0.75);('n', 0.73);('o', 0.7);('r', 0.7);('w', 0.7);('p', 0.7);('q', 0.69);('t', 0.68);('b', 0.67);('a', 0.67);('c', 0.6);('l', 0.52);('i', 0.01);('j', 0.0)
('l', 0.79);('c', 0.66);('q', 0.44);('s', 0.33);('g', 0.32);('t', 0.32);('p', 0.31);('w', 0.3);('a', 0.29);('n', 0.29);('u', 0.29);('k', 0.27);('v', 0.26);('y', 0.23);('b', 0.21);('o', 0.21);('f', 0.17);('r', 0.16);('z', 0.13);('e', 0.11);('d', 0.1);('h', 0.07);('m', 0.06);('x', 0.02);('i', 0.0);('j', 0.0)
('l', 0.87);('c', 0.81);('t', 0.71);('n', 0.68);('q', 0.66);('s', 0.66);('g', 0.64);('p', 0.63);('w', 0.62);('k', 0.62);('a', 0.61);('v', 0.6);('b', 0.59);('o', 0.58);('u', 0.58);('f', 0.55);('r', 0.55);('z', 0.55);('y', 0.52);('d', 0.51);('h', 0.5);('e', 0.46);('m', 0.46);('x', 0.43);('i', 0.01);('j', 0.0)
('o', 0.96);('p', 0.95);('a', 0.95);('w', 0.94);('v', 0.92);('f', 0.9);('r', 0.9);('b', 0.89);('n', 0.85);('t', 0.85);('q', 0.8);('d', 0.77);('g', 0.77);('k', 0.77);('s', 0.74);('u', 0.73);('h', 0.72);('z', 0.71);('m', 0.7);('y', 0.67);('e', 0.66);('x', 0.65);('c', 0.6);('l', 0.55);('i', 0.01);('j', 0.0)
('t', 0.99);('n', 0.92);('o', 0.87);('b', 0.85);('p', 0.85);('a', 0.85);('r', 0.85);('w', 0.85);('f', 0.84);('v', 0.84);('k', 0.78);('g', 0.78);('d', 0.77);('s', 0.77);('z', 0.76);('q', 0.75);('h', 0.74);('u', 0.71);('m', 0.7);('c', 0.66);('e', 0.65);('x', 0.65);('y', 0.65);('l', 0.64);('i', 0.01);('j', 0.0)
('h', 1.0);('d', 0.95);('m', 0.92);('z', 0.9);('x', 0.88);('f', 0.83);('e', 0.83);('k', 0.83);('n', 0.82);('r', 0.82);('g', 0.81);('s', 0.8);('v', 0.8);('b', 0.79);('o', 0.79);('t', 0.78);('u', 0.77);('w', 0.75);('p', 0.74);('y', 0.74);('a', 0.72);('q', 0.68);('c', 0.6);('l', 0.52);('i', 0.0);('j', 0.0)
('y', 0.9);('e', 0.89);('u', 0.85);('s', 0.82);('x', 0.81);('g', 0.8);('m', 0.78);('z', 0.74);('k', 0.73);('d', 0.72);('h', 0.72);('v', 0.69);('f', 0.68);('q', 0.67);('n', 0.66);('w', 0.65);('p', 0.65);('o', 0.63);('r', 0.62);('t', 0.62);('a', 0.61);('b', 0.59);('c', 0.59);('l', 0.51);('i', 0.01);('j', 0.0)
('o', 0.95);('v', 0.93);('r', 0.92);('f', 0.92);('p', 0.92);('w', 0.92);('a', 0.91);('b', 0.91);('n', 0.89);('t', 0.87);('d', 0.82);('k', 0.81);('g', 0.8);('q', 0.79);('h', 0.77);('s', 0.77);('u', 0.75);('z', 0.75);('m', 0.73);('e', 0.69);('y', 0.69);('x', 0.69);('c', 0.61);('l', 0.57);('i', 0.01);('j', 0.0)
('e', 1.0);('x', 0.91);('m', 0.89);('y', 0.88);('u', 0.86);('g', 0.84);('s', 0.84);('z', 0.83);('d', 0.83);('h', 0.82);('k', 0.79);('f', 0.77);('v', 0.76);('n', 0.74);('o', 0.72);('r', 0.72);('w', 0.71);('p', 0.71);('q', 0.69);('t', 0.69);('b', 0.69);('a', 0.68);('c', 0.6);('l', 0.51);('i', 0.01);('j', 0.0)
