('i', 0.44);('j', 0.42);('q', 0.39);('a', 0.36);('p', 0.35);('w', 0.35);('b', 0.31);('l', 0.3);('o', 0.29);('v', 0.29);('c', 0.25);('r', 0.24);('t', 0.24);('f', 0.21);('n', 0.19);('u', 0.19);('g', 0.18);('s', 0.17);('k', 0.16);('y', 0.14);('d', 0.12);('h', 0.06);('e', 0.05);('m', 0.04);('z', 0.04);('x', 0.0)
('n', 0.92);('t', 0.89);('v', 0.87);('w', 0.87);('g', 0.86);('k', 0.86);('p', 0.86);('a', 0.83);('o', 0.83);('f', 0.83);('q', 0.83);('s', 0.83);('b', 0.81);('r', 0.81);('u', 0.79);('d', 0.77);('z', 0.76);('h', 0.74);('c', 0.72);('y', 0.72);('m', 0.72);('e', 0.7);('x', 0.67);('l', 0.66);('i', 0.01);('j', 0.0)
('t', 0.88);('n', 0.85);('p', 0.84);('w', 0.83);('a', 0.82);('q', 0.8);('o', 0.79);('v', 0.79);('b', 0.77);('g', 0.77);('s', 0.77);('f', 0.75);('k', 0.75);('r', 0.75);('c', 0.72);('l', 0.71);('u', 0.7);('d', 0.67);('z', 0.67);('h', 0.64);('y', 0.64);('m', 0.62);('e', 0.6);('x', 0.57);('i', 0.01);('j', 0.0)
('e', 1.0);('x', 0.91);('m', 0.89);('y', 0.88);('u', 0.86);('g', 0.84);('s', 0.84);('z', 0.83);('d', 0.83);('h', 0.82);('k', 0.79);('f', 0.77);('v', 0.76);('n', 0.74);('o', 0.72);('r', 0.72);('w', 0.71);('p', 0.71);('q', 0.69);('t', 0.69);('b', 0.69);('a', 0.68);('c', 0.6);('l', 0.51);('i', 0.01);('j', 0.0)
('g', 1.0);('u', 0.91);('s', 0.9);('k', 0.9);('v', 0.84);('y', 0.84);('n', 0.83);('e', 0.83);('d', 0.81);('f', 0.8);('q', 0.8);('m', 0.8);('w', 0.8);('z', 0.8);('p', 0.79);('h', 0.79);('t', 0.78);('x', 0.78);('o', 0.77);('a', 0.75);('r', 0.75);('b', 0.75);('c', 0.71);('l', 0.61);('i', 0.01);('j', 0.0)
('y', 0.9);('e', 0.87);('u', 0.84);('s', 0.8);('x', 0.79);('g', 0.78);('m', 0.76);('z', 0.72);('k', 0.71);('d', 0.7);('h', 0.7);('v', 0.68);('f', 0.67);('q', 0.66);('n', 0.64);('w', 0.64);('p', 0.63);('o', 0.62);('r', 0.61);('a', 0.6);('t', 0.6);('b', 0.58);('c', 0.58);('l', 0.49);('i', 0.01);('j', 0.0)
('o', 0.96);('r', 0.94);('f', 0.93);('v', 0.93);('b', 0.91);('p', 0.91);('w', 0.91);('a', 0.9);('n', 0.89);('t', 0.87);('d', 0.82);('k', 0.81);('g', 0.8);('q', 0.78);('h', 0.78);('s', 0.77);('u', 0.75);('z', 0.75);('m', 0.74);('e', 0.7);('x', 0.7);('y', 0.69);('c', 0.61);('l', 0.56);('i', 0.01);('j', 0.0)
('v', 0.92);('w', 0.91);('p', 0.9);('q', 0.9);('a', 0.85);('g', 0.85);('o', 0.83);('f', 0.83);('k', 0.83);('u', 0.83);('n', 0.82);('b', 0.8);('s', 0.8);('r', 0.79);('t', 0.79);('d', 0.75);('y', 0.75);('e', 0.71);('h', 0.7);('m', 0.69);('z', 0.69);('c', 0.67);('x', 0.67);('l', 0.6);('i', 0.01);('j', 0.0)
('a', 1.0);('p', 0.96);('w', 0.94);('o', 0.91);('v', 0.88);('b', 0.86);('r', 0.85);('f', 0.85);('t', 0.82);('n', 0.81);('q', 0.81);('g', 0.73);('k', 0.73);('d', 0.71);('s', 0.7);('u', 0.7);('h', 0.65);('z', 0.64);('m', 0.64);('y', 0.64);('e', 0.6);('x', 0.59);('c', 0.58);('l', 0.56);('i', 0.01);('j', 0.0)
('r', 0.98);('o', 0.96);('b', 0.92);('f', 0.92);('v', 0.89);('a', 0.88);('p', 0.88);('w', 0.88);('n', 0.87);('t', 0.85);('d', 0.83);('h', 0.78);('k', 0.78);('g', 0.77);('m', 0.74);('q', 0.74);('z', 0.74);('s', 0.73);('u', 0.72);('x', 0.7);('e', 0.69);('y', 0.66);('c', 0.58);('l', 0.53);('i', 0.01);('j', 0.0)
